truth distance cut
0 31.56710270034806 6.0
1 0.40479932887169207 6.0
1 0.03451711283790264 6.0
1 4.9675407009005 6.0
1 5.37788714434168 6.0
1 0.0180888597669911 6.0
1 0.0031655504592235048 6.0
1 1.1552710587178472 6.0
1 1.125329317114433 6.0
1 0.6844934206272185 6.0
1 0.05230254377476281 6.0
1 0.06903230543802891 6.0
1 0.019586843466444487 6.0
1 0.4693821899620922 6.0
1 0.0014118775104492863 6.0
1 0.00024707856432862514 6.0
0 13.68180527792328 6.0
1 0.053934058912060455 6.0
1 0.21141986788996586 6.0
1 0.09446144942741408 6.0
0 12.125627979065031 6.0
1 0.1735445184817731 6.0
1 0.014004521422775834 6.0
1 0.20552807124809805 6.0
1 0.07100009229379182 6.0
0 29.891721665816334 6.0
1 2.9694394772595684e-06 6.0
1 0.2710911904670566 6.0
1 0.0005671335216681437 6.0
1 0.05034457487464148 6.0
1 0.195200032359415 6.0
1 0.08660543098712707 6.0
1 0.00041879663753260546 6.0
1 0.09045941465890131 6.0
1 0.001167089109895798 6.0
1 1.7183599745726002e-06 6.0
1 0.005079890785804577 6.0
1 0.7399696085015839 6.0
0 0.739969608501588 6.0
1 0.011500467456853788 6.0
0 3.705045803177599 6.0
0 8.257906931270156 6.0
1 0.00928834145055477 6.0
1 0.001625459753847129 6.0
0 11.352380628704529 6.0
1 0.0011415955541343732 6.0
1 0.02104123145658315 6.0
1 0.0021617444107834365 6.0
1 0.08471049455000541 6.0
1 0.0002711952302314552 6.0
1 0.2807326537081865 6.0
1 0.7763599797165993 6.0
1 0.4411293266801206 6.0
1 0.0005849703240779562 6.0
1 0.03698395253388637 6.0
1 0.2613929254019228 6.0
1 0.03698395253388637 6.0
1 0.062089986999534906 6.0
1 0.006767511106923514 6.0
0 4.932565534752395 6.0
1 0.3076254796521178 6.0
0 0.9609279533901999 6.0
1 0.9914719064663514 6.0
0 0.5568326762844983 6.0
1 0.12819113536153193 6.0
1 2.4247212241764773 6.0
0 0.10103395104029676 6.0
1 14.105556734750062 6.0
1 1.3026219279878 6.0
0 0.5953605308816883 6.0
1 0.16980328744314063 6.0
1 0.783003217733149 6.0
0 0.33575245928264097 6.0
1 4.82629950692819 6.0
1 1.372414109602889 6.0
1 1.7881522547628534 6.0
1 13.325468916027535 6.0
1 26.81056743268266 6.0
1 0.08131125495949147 6.0
1 0.43011265780589963 6.0
1 0.18884779312708097 6.0
1 0.48082533530429633 6.0
0 0.29019997126938835 6.0
0 0.008783151903435307 6.0
0 0.017053441992501854 6.0
0 29.156612083932536 6.0
0 4.932565534752395 3.0
1 0.3076254796521178 3.0
0 0.9609279533901999 3.0
0 0.5568326762844983 3.0
1 0.1593060519627043 3.0
1 1.2049801513201113 3.0
0 0.4443614985018698 3.0
1 7.450581995079832 3.0
1 3.894573479274589 3.0
1 0.009225570862584744 3.0
0 2.1113328914329856 3.0
1 0.783003217733149 3.0
0 0.33575245928264097 3.0
1 0.1822325500327322 3.0
1 4.82629950692819 3.0
1 5.736864110749861 3.0
1 0.22682026246476927 3.0
1 0.1888477931270787 3.0
1 0.0014063961607827277 3.0
1 0.5629575068725218 3.0
1 0.08131125495949147 3.0
1 0.43011265780589963 3.0
1 0.26407966298545144 3.0
1 0.18884779312708097 3.0
1 0.48082533530429633 3.0
0 0.29019997126938835 3.0
1 8.107281779261552 3.0
0 0.08388874255334376 3.0
0 0.1712691700568986 3.0
1 0.3076254796521178 1.2
0 0.9609279533901999 1.2
0 0.5568326762844983 1.2
1 0.1593060519627043 1.2
1 1.2049801513201113 1.2
0 0.4443614985018698 1.2
1 0.009225570862584744 1.2
1 0.783003217733149 1.2
0 0.33575245928264097 1.2
1 0.005119278508590243 1.2
1 0.05936746590150365 1.2
1 0.6240673324522988 1.2
1 0.5629575068725218 1.2
1 0.08131125495949147 1.2
1 0.43011265780589963 1.2
1 0.26407966298545144 1.2
1 0.18884779312708097 1.2
1 0.48082533530429633 1.2
0 0.29019997126938835 1.2
0 0.08388874255334376 1.2
0 0.1712691700568986 1.2
