truth,reweight
1,0.2
1,0.14285714285714285
0,0.2
1,0.25
0,1.0
1,0.14285714285714285
1,0.25
0,0.25
1,0.25
1,0.2
0,0.25
0,1.0
1,0.25
1,1.0
1,0.2
1,0.14285714285714285
0,0.25
0,1.0
1,0.14285714285714285
0,1.0
0,0.14285714285714285
1,0.25
1,0.2
0,0.25
1,0.25
1,0.4429128055934599
1,0.27172918083781744
0,0.25
1,0.25
1,0.2998979031186167
1,0.22827081916218253
1,0.23867534235997506
0,0.2
1,0.20010209688138333
1,0.5570871944065401
1,0.26132465764002494
1,0.2
1,0.25
0,0.25
0,1.0
0,0.28185380908907426
0,0.12255898796919365
0,0.11926408860803381
0,0.25
1,0.11162218736208968
1,0.15219353371885308
0,0.3807359113919663
1,0.19258869687047842
1,0.34780646628114686
1,0.16648439858498448
1,0.5316376493374334
1,1.0
1,0.3333333333333333
1,0.3333333333333333
0,0.25
1,0.25
0,0.25
1,0.09761184988488819
1,0.25
1,0.48773656353176276
1,0.04496102838272691
1,0.3333333333333333
0,0.093343731257344
1,0.4102831513089887
1,1.0
1,0.25
1,0.26465015167382994
1,1.0
1,0.3333333333333333
1,0.23534984832617006
1,0.2131388662333002
1,0.5122634364682371
1,0.5897168486910114
1,0.28686113376669975
1,0.25
1,0.3333333333333333
0,0.14285714285714285
0,0.25
1,0.25
1,0.25
0,0.063787574011221
1,0.12294192522424398
1,0.44829070340934335
1,1.0
0,0.04363954772116391
1,0.09518530613053403
1,0.2501613693314684
1,1.0
1,0.2498386306685316
1,0.3333333333333333
0,1.0
1,0.5517092965906567
1,0.3333333333333333
1,1.0
0,0.3333333333333333
0,0.5
1,0.3333333333333333
0,0.5
0,0.28185380908907426
0,0.12255898796919365
0,0.11926408860803381
0,0.25
1,0.11162218736208968
1,0.15219353371885308
0,0.3807359113919663
1,0.19258869687047842
1,0.34780646628114686
1,0.16648439858498448
1,0.5316376493374334
1,1.0
1,0.3333333333333333
1,0.3333333333333333
0,0.25
1,0.25
0,0.25
1,0.09761184988488819
1,0.25
1,0.48773656353176276
1,0.04496102838272691
1,0.3333333333333333
0,0.093343731257344
1,0.4102831513089887
1,1.0
1,0.25
1,0.26465015167382994
1,1.0
1,0.3333333333333333
1,0.23534984832617006
1,0.2131388662333002
1,0.5122634364682371
1,0.5897168486910114
1,0.28686113376669975
1,0.25
1,0.3333333333333333
0,0.14285714285714285
0,0.25
1,0.25
1,0.25
0,0.063787574011221
1,0.12294192522424398
1,0.44829070340934335
1,1.0
0,0.04363954772116391
1,0.09518530613053403
1,0.2501613693314684
1,1.0
1,0.2498386306685316
1,0.3333333333333333
0,1.0
1,0.5517092965906567
1,0.3333333333333333
1,1.0
0,0.3333333333333333
0,0.5
1,0.3333333333333333
0,0.5
0,0.28185380908907426
0,0.12255898796919365
0,0.11926408860803381
0,0.25
1,0.11162218736208968
1,0.15219353371885308
0,0.3807359113919663
1,0.19258869687047842
1,0.34780646628114686
1,0.16648439858498448
1,0.5316376493374334
1,1.0
1,0.3333333333333333
1,0.3333333333333333
0,0.25
1,0.25
0,0.25
1,0.09761184988488819
1,0.25
1,0.48773656353176276
1,0.04496102838272691
1,0.3333333333333333
0,0.093343731257344
1,0.4102831513089887
1,1.0
1,0.25
1,0.26465015167382994
1,1.0
1,0.3333333333333333
1,0.23534984832617006
1,0.2131388662333002
1,0.5122634364682371
1,0.5897168486910114
1,0.28686113376669975
1,0.25
1,0.3333333333333333
0,0.14285714285714285
0,0.25
1,0.25
1,0.25
0,0.063787574011221
1,0.12294192522424398
1,0.44829070340934335
1,1.0
0,0.04363954772116391
1,0.09518530613053403
1,0.2501613693314684
1,1.0
1,0.2498386306685316
1,0.3333333333333333
0,1.0
1,0.5517092965906567
1,0.3333333333333333
1,1.0
0,0.3333333333333333
0,0.5
