truth distance cut
0 0.06193577137553534 8.0
1 0.004950828778753144 8.0
1 0.007575774687630287 8.0
1 0.12959192369408631 8.0
0 0.061028201756523154 8.0
1 0.3281701307838105 8.0
1 0.4423262722363168 8.0
1 0.1940925023568905 8.0
1 0.019788142550652425 8.0
1 6.417322187828133 8.0
1 0.06335566664435181 8.0
1 4.822946570292077 8.0
1 0.3854125500963682 8.0
1 0.06744719626686788 8.0
1 0.1324855640956266 8.0
1 0.1324855640956266 8.0
0 0.02224935379537062 8.0
1 0.18214744689977322 8.0
0 0.011501244750252005 8.0
1 18.771209307980993 8.0
0 0.018019067265344413 8.0
1 0.10959482613439213 8.0
0 4.790276109015856 8.0
1 34.45673015462715 8.0
0 57.157952864881715 8.0
0 0.002793941304052147 8.0
0 28.716968822042713 8.0
0 0.6903153330401421 8.0
0 0.09529806685595359 8.0
0 0.013205842237119647 8.0
0 29.575661137473453 8.0
1 9.252285242178493 8.0
0 0.06738978804484262 8.0
1 0.03051030035840829 8.0
1 0.017685554675758577 8.0
1 0.02733078706457329 8.0
1 3.424428460375541 8.0
1 1.7131868194815078e-05 8.0
0 0.2605777745200929 8.0
0 21.13500351052796 8.0
1 26.174705169613894 8.0
1 1.1732694178558347 8.0
1 4.3165967204213525 8.0
0 0.3938968651095826 8.0
1 6.538937441660503 8.0
1 0.008067379265665114 8.0
1 0.2755871669207869 8.0
0 1.47160309860044 8.0
1 0.4984068775784895 8.0
1 0.2590422029036906 8.0
0 0.0007391837960224302 8.0
0 35.455156613269565 8.0
0 58.441829973200655 8.0
1 3.350477327054758 8.0
1 0.0019011696630434759 8.0
1 0.0009972965683140468 8.0
0 0.9554721276067915 8.0
0 1.0611071724152579 8.0
0 25.684500729661213 8.0
1 0.9785321847185383 8.0
1 0.23414427014732517 8.0
1 0.27286117428932394 8.0
1 0.19466898434770236 8.0
0 0.0780483798621622 8.0
1 0.04273948854150507 8.0
1 0.026069655504982556 8.0
1 1.778923779877042 8.0
1 5.627431831015334 8.0
1 0.0033673442616446946 8.0
1 1.2789749159355654 8.0
1 0.5474080491271942 8.0
1 0.18214744689977322 4.0
0 0.011501244750252005 4.0
